============================================ prepare_Object
79226537
object read {'loc': [-51.21043451836201, -82.1727639604176], 'ra': 128.789565481638, 'decl': -82.1727639604176}
object read {'loc': [-41.81431566392101, -82.9418759184441], 'ra': 138.185684336079, 'decl': -82.9418759184441}
object read {'loc': [-58.322356478578996, -81.8216325889385], 'ra': 121.677643521421, 'decl': -81.8216325889385}
object read {'loc': [-41.71143741396, -82.6262561075189], 'ra': 138.28856258604, 'decl': -82.6262561075189}
object read {'loc': [-56.075397919002, -81.8995981965999], 'ra': 123.924602080998, 'decl': -81.8995981965999}
object read {'loc': [-44.471272694622996, -83.3925902925396], 'ra': 135.528727305377, 'decl': -83.3925902925396}
object read {'loc': [-41.053711164377006, -83.5824850458981], 'ra': 138.946288835623, 'decl': -83.5824850458981}
object read {'loc': [-45.482795561709, -82.9188113962876], 'ra': 134.517204438291, 'decl': -82.9188113962876}
object read {'loc': [-57.273159549061006, -82.7637441356616], 'ra': 122.726840450939, 'decl': -82.7637441356616}
object read {'loc': [-40.74954677249599, -81.9133314737334], 'ra': 139.250453227504, 'decl': -81.9133314737334}
object read {'loc': [-44.033022660374, -83.2249242893295], 'ra': 135.966977339626, 'decl': -83.2249242893295}
object read {'loc': [-50.14974478104301, -81.7833775498487], 'ra': 129.850255218957, 'decl': -81.7833775498487}
object read {'loc': [-57.794318884069, -81.6932267331402], 'ra': 122.205681115931, 'decl': -81.6932267331402}
object read {'loc': [-54.650925994527995, -81.8648041960773], 'ra': 125.349074005472, 'decl': -81.8648041960773}
object read {'loc': [-49.421267674594986, -83.221520464723], 'ra': 130.578732325405, 'decl': -83.221520464723}
object read {'loc': [-45.46599565007901, -82.6461798391901], 'ra': 134.534004349921, 'decl': -82.6461798391901}
object read {'loc': [-44.268537922083, -82.4947126973943], 'ra': 135.731462077917, 'decl': -82.4947126973943}
object read {'loc': [-55.191479931692, -82.2287802954337], 'ra': 124.808520068308, 'decl': -82.2287802954337}
object read {'loc': [-55.883202621829994, -82.1998113845149], 'ra': 124.11679737817, 'decl': -82.1998113845149}
object read {'loc': [-46.979074539837, -83.1362971269273], 'ra': 133.020925460163, 'decl': -83.1362971269273}
object read {'loc': [-52.986352606544, -83.6038894105347], 'ra': 127.013647393456, 'decl': -83.6038894105347}
object read {'loc': [-57.901267292059, -82.1037417342321], 'ra': 122.098732707941, 'decl': -82.1037417342321}
object read {'loc': [-46.21183481898501, -82.585091227436], 'ra': 133.788165181015, 'decl': -82.585091227436}
object read {'loc': [-57.643197435483, -83.2325630111039], 'ra': 122.356802564517, 'decl': -83.2325630111039}
object read {'loc': [-47.727438300557, -81.9325709758754], 'ra': 132.272561699443, 'decl': -81.9325709758754}
object read {'loc': [-51.230441714281, -82.9640321486318], 'ra': 128.769558285719, 'decl': -82.9640321486318}
object read {'loc': [-52.236765485511995, -81.8874833149606], 'ra': 127.763234514488, 'decl': -81.8874833149606}
object read {'loc': [-50.88137355479901, -81.7596452297653], 'ra': 129.118626445201, 'decl': -81.7596452297653}
object read {'loc': [-43.58571470595899, -83.4635360563018], 'ra': 136.414285294041, 'decl': -83.4635360563018}
object read {'loc': [-58.2989114378, -83.4372322606754], 'ra': 121.7010885622, 'decl': -83.4372322606754}
object read {'loc': [-42.55732140671799, -83.4253465705254], 'ra': 137.442678593282, 'decl': -83.4253465705254}
object read {'loc': [-52.690317722993, -82.8603043097141], 'ra': 127.309682277007, 'decl': -82.8603043097141}
object read {'loc': [-41.61940189755299, -83.1377837134231], 'ra': 138.380598102447, 'decl': -83.1377837134231}
object read {'loc': [-56.71250575753599, -82.9977345091111], 'ra': 123.287494242464, 'decl': -82.9977345091111}
object read {'loc': [0.02933098053298977, -80.7569840098565], 'ra': 180.029330980533, 'decl': -80.7569840098565}
object read {'loc': [7.580442418903999, -81.2368897556526], 'ra': 187.580442418904, 'decl': -81.2368897556526}
object read {'loc': [2.8017204804399967, -80.3531205092534], 'ra': 182.80172048044, 'decl': -80.3531205092534}
object read {'loc': [13.342739429108008, -80.9157265687142], 'ra': 193.342739429108, 'decl': -80.9157265687142}
object read {'loc': [12.031566925784006, -80.8414886267042], 'ra': 192.031566925784, 'decl': -80.8414886267042}
object read {'loc': [3.620756686172001, -81.2918757557296], 'ra': 183.620756686172, 'decl': -81.2918757557296}
object read {'loc': [5.733699620627988, -79.8225302985455], 'ra': 185.733699620628, 'decl': -79.8225302985455}
object read {'loc': [4.396205858145009, -80.2750865603499], 'ra': 184.396205858145, 'decl': -80.2750865603499}
object read {'loc': [9.980293588239988, -80.3301988733175], 'ra': 189.98029358824, 'decl': -80.3301988733175}
object read {'loc': [0.7187812169279937, -79.9648898513595], 'ra': 180.718781216928, 'decl': -79.9648898513595}
object read {'loc': [5.4369418133680085, -80.5514512968626], 'ra': 185.436941813368, 'decl': -80.5514512968626}
object read {'loc': [0.46678900572700854, -79.4425973710185], 'ra': 180.466789005727, 'decl': -79.4425973710185}
object read {'loc': [10.655109180875996, -79.6204038423961], 'ra': 190.655109180876, 'decl': -79.6204038423961}
object read {'loc': [4.525396296358991, -80.1767283040902], 'ra': 184.525396296359, 'decl': -80.1767283040902}
object read {'loc': [9.818918620109002, -80.3494163931714], 'ra': 189.818918620109, 'decl': -80.3494163931714}
object read {'loc': [3.604695674493996, -80.255874254172], 'ra': 183.604695674494, 'decl': -80.255874254172}
object read {'loc': [3.1279201895019924, -80.237237280792], 'ra': 183.127920189502, 'decl': -80.237237280792}
object read {'loc': [13.163574909267993, -79.9221716727009], 'ra': 193.163574909268, 'decl': -79.9221716727009}
object read {'loc': [4.51151463436301, -79.6055871090801], 'ra': 184.511514634363, 'decl': -79.6055871090801}
object read {'loc': [10.103661800868991, -81.5160955154651], 'ra': 190.103661800869, 'decl': -81.5160955154651}
object read {'loc': [2.5102809471150067, -80.6415546940347], 'ra': 182.510280947115, 'decl': -80.6415546940347}
object read {'loc': [10.414664862996005, -80.9926073789289], 'ra': 190.414664862996, 'decl': -80.9926073789289}
object read {'loc': [10.303657290632003, -80.8415833200644], 'ra': 190.303657290632, 'decl': -80.8415833200644}
object read {'loc': [2.4867920179219993, -79.7759602289806], 'ra': 182.486792017922, 'decl': -79.7759602289806}
object read {'loc': [5.1162466567739955, -79.5353535820607], 'ra': 185.116246656774, 'decl': -79.5353535820607}
object read {'loc': [6.856309646401002, -81.0896229918469], 'ra': 186.856309646401, 'decl': -81.0896229918469}
